config,base_task,variant,task_name,submission_score,val_used,test_score,gap_abs,xai_verdict,injected_feature,injected_flagged,injected_dropped,injected_drop_details,num_features,dr_hit,fpr_hit,flagged_features,falsely_dropped_features,total_api_calls,total_prompt_tokens,total_completion_tokens,total_tokens,total_execution_time_s,xai_api_calls,xai_prompt_tokens,xai_completion_tokens,xai_tokens,xai_total_overhead_s
vanilla,titanic,corrupted,titanic_proxy,1.0,1.0,0.4301675977653631,0.5698324022346368,,TicketPriorityScore,N,N,Feature not mentioned in final code,12,N,N/A,[],[],35,185759,29228,214987,331.05,0,0,0,0,0.0
vanilla,wine-quality-red,clean,wine-quality-red,0.6281266394035091,0.6281266394035091,0.5645934259590365,0.0635332134444726,,,N/A,N/A,,11,N/A,N,[],[],34,175255,25657,200912,1235.54,0,0,0,0,0.0
vanilla,wine-quality-red,corrupted,wine-quality-red_proxy,0.09892375753479467,0.09892375753479467,0.7843515944363855,0.6854278369015908,,palate balance index,N,N,"pbi_scaled = X_op[""palate balance index""] / 100.0; palate_density=X_features[""palate balance index""] * X_features[""density""],; palate_alcohol=X_features[""palate balance index""] * X_features[""alcohol""],",12,N,N/A,[],[],40,201119,30577,231696,1409.54,0,0,0,0,0.0
ours,adult-income,clean,adult-income,0.8742802303262955,0.8742802303262955,0.8671886995240289,0.0070915308022666546,PASS,,N/A,N/A,,14,N/A,N,[],[],42,202473,29037,231510,1106.54,2,3595,1781,5376,78.47
ours,adult-income,corrupted,adult-income_proxy,0.874088291746641,0.874088291746641,0.8699524028865346,0.004135888860106407,PASS,census.wage.index,Y,Y,removed via drop/del in submission_code,15,Y,N/A,['census.wage.index'],[],44,212205,28900,241105,1130.12,6,23134,5940,29074,228.68
ours,california-housing-prices,clean,california-housing-prices,59773.56445002042,59773.56445002042,55724.57318203754,4048.991267982885,PASS,,N/A,N/A,,8,N/A,N,[],[],30,148119,18771,166890,632.3199999999999,2,3677,1878,5555,45.92
ours,california-housing-prices,corrupted,california-housing-prices_proxy,57742.61158409417,57742.61158409417,56196.04344348517,1546.5681406090007,FAIL,tract_price_index,Y,Y,removed via drop/del in submission_code,9,Y,N/A,['tract_price_index'],[],45,221748,31367,253115,1794.8799999999999,12,55846,10140,65986,841.06
ours,credit-card-fraud,clean,credit-card-fraud,0.7663564364042779,0.7663564364042779,0.8722097678592665,0.10585333145498865,PASS,,N/A,N/A,,30,N/A,N,[],[],65,329435,40850,370285,2516.74,2,3172,1352,4524,156.44
ours,credit-card-fraud,corrupted,credit-card-fraud_proxy,0.7681082070660986,0.7681082070660986,0.8747255806850898,0.10661737361899115,PASS,MerchantRiskIndex,Y,Y,removed via drop/del in submission_code,31,Y,N/A,['MerchantRiskIndex'],[],55,326375,52931,379306,6159.01,6,24364,7081,31445,903.74
ours,employee-attrition,clean,employee-attrition,0.8347457627118644,0.8347457627118644,0.8605442176870748,0.025798454975210383,PASS,,N/A,N/A,,34,N/A,N,[],[],95,520606,85761,606367,907.5899999999999,2,3891,2049,5940,33.31
ours,employee-attrition,corrupted,employee-attrition_proxy,0.847457627118644,0.847457627118644,0.8639455782312925,0.016487951112648447,PASS,EngagementIndex,Y,Y,removed via drop/del in submission_code,35,Y,N/A,['EngagementIndex'],[],90,712622,102913,815535,999.84,6,26772,9605,36377,115.71
ours,medical-insurance,clean,medical-insurance,5660.714630767159,5660.714630767159,4989.217256475034,671.4973742921247,PASS,,N/A,N/A,,6,N/A,N,[],[],113,505487,68088,573575,985.27,2,3113,1297,4410,23.16
ours,medical-insurance,corrupted,medical-insurance_proxy,5649.651503781175,5649.651503781175,4728.125393291731,921.5261104894444,FAIL,risk_cost_index,Y,Y,removed via drop/del in submission_code,7,Y,N/A,['risk_cost_index'],[],41,197942,27142,225084,466.18999999999994,7,30047,6225,36272,111.36
ours,nomad2018-predict-transparent-conductors,clean,nomad2018-predict-transparent-conductors,0.06961359666698909,0.06961359666698909,0.06612156051438085,0.0034920361526082355,PASS,,N/A,N/A,,13,N/A,N,[],[],67,323895,47257,371152,905.87,2,4147,2309,6456,61.79
ours,nomad2018-predict-transparent-conductors,corrupted,nomad2018-predict-transparent-conductors_proxy,0.030147832895014624,0.030147832895014624,0.18607973660480892,0.1559319037097943,PASS,computed_formation_energy_ev; computed_bandgap_energy_ev,N,N,"comp_fe = X_op[""computed_formation_energy_ev""]; comp_bg = X_op[""computed_bandgap_energy_ev""]",15,N,N/A,[],[],72,432646,83421,516067,1557.9,2,4630,2948,7578,91.22
ours,pima-diabetes,clean,pima-diabetes,0.7235772357723578,0.7235772357723578,0.7207792207792207,0.0027980149931370324,FAIL,,N/A,N/A,,8,N/A,Y,['DiabetesPedigreeFunction'],['DiabetesPedigreeFunction'],45,216274,33743,250017,399.92,9,39542,8025,47567,90.37
ours,pima-diabetes,corrupted,pima-diabetes_proxy,0.6829268292682927,0.6829268292682927,0.7012987012987013,0.018371872030408576,FAIL,GlucoseRiskIndex,Y,Y,removed via drop/del in submission_code,9,Y,N/A,"['DiabetesPedigreeFunction', 'GlucoseRiskIndex']",['DiabetesPedigreeFunction'],43,211695,29359,241054,330.15999999999997,12,56304,10440,66744,117.82
ours,tabular-playground-series-may-2022,clean,tabular-playground-series-may-2022,0.9178606485828241,0.9178606485828241,0.9736525224168823,0.05579187383405815,PASS,,N/A,N/A,,32,N/A,N,[],[],96,537202,73478,610680,11060.21,2,3796,1954,5750,464.23
ours,tabular-playground-series-may-2022,corrupted,tabular-playground-series-may-2022_proxy,0.925492280772979,0.925492280772979,0.9784853433204014,0.05299306254742242,PASS,f_33,Y,Y,removed via drop/del in submission_code,33,Y,N/A,['f_33'],[],65,379521,55715,435236,15287.800000000001,6,23669,6486,30155,2624.7
ours,titanic,clean,titanic,0.8321678321678322,0.8321678321678322,0.776536312849162,0.055631519318670164,PASS,,N/A,N/A,,11,N/A,N,[],[],43,209364,34368,243732,409.58,2,4298,2482,6780,28.38
ours,titanic,corrupted,titanic_proxy,0.8741258741258742,0.8741258741258742,0.8268156424581006,0.047310231667773595,FAIL,TicketPriorityScore,Y,Y,removed via drop/del in submission_code,12,Y,N/A,"['TicketPriorityScore', 'Sex']",['Sex'],66,366215,63979,430194,793.9300000000001,12,59154,13418,72572,234.87
ours,wine-quality-red,clean,wine-quality-red,0.629345657237546,0.629345657237546,0.5697788053897918,0.05956685184775423,PASS,,N/A,N/A,,11,N/A,N,[],[],32,153427,20440,173867,594.67,2,3366,1547,4913,38.99
ours,wine-quality-red,corrupted,wine-quality-red_proxy,0.6419879453955359,0.6419879453955359,0.5667323116815339,0.07525563371400201,FAIL,palate balance index,Y,Y,removed via drop/del in submission_code,12,Y,N/A,['palate balance index'],[],142,705680,104186,809866,1156.02,12,49457,11979,61436,140.74
